Symbol,Name,Sector,Industry,Full Time Employees,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,61000.0,11.9,1.4,5.3,5.2,Moderate Controversy Level,2.0,5.0,Low
DHI,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,13450.0,21.0,8.7,5.7,6.7,Moderate Controversy Level,2.0,32.0,Medium
CVS,Cvs Health Corporation,Healthcare,Healthcare Plans,219000.0,22.0,0.0,6.2,15.8,Significant Controversy Level,3.0,36.0,Medium
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,75500.0,19.3,5.6,5.9,7.7,Moderate Controversy Level,2.0,25.0,Low
CSX,Csx Corporation,Industrials,Railroads,23400.0,21.9,7.0,4.8,10.0,Moderate Controversy Level,2.0,36.0,Medium
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,4700.0,10.1,4.1,4.3,1.7,None Controversy Level,2.0,3.0,Low
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,894.0,36.1,20.3,7.5,8.3,Moderate Controversy Level,2.0,86.0,High
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,316000.0,23.3,6.5,5.6,11.2,Significant Controversy Level,3.0,41.0,Medium
CSGP,Costar Group Inc,Real Estate,Real Estate Services,6152.0,21.9,4.9,7.7,9.3,Low Controversy Level,1.0,36.0,Medium
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,22500.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,10500.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
GLW,Corning Incorporated,Technology,Electronic Components,49800.0,16.5,5.5,6.1,4.8,Moderate Controversy Level,2.0,16.0,Low
CPRT,Copart Inc,Industrials,Specialty Business Services,12000.0,16.0,1.5,5.6,9.0,Low Controversy Level,1.0,14.0,Low
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,13871.0,21.05,4.05,6.1,8.9,Unknown,2.0,32.0,Unknown
